cat_level1,cat_level2,cat_level3,brand_name,company_name,company_intro,renqi,diqu
配饰,配饰,时尚饰品,潘多拉创意集合店,深圳市潘多拉进出口有限公司,“潘多拉创意集合店”营销中心于2005年在中国成立，旗下产业涉及珠宝、眼镜、彩妆等时尚领域，是一家集研发、生产、销售于一体的多元化企业。作为新生代创意集合店，将珠宝、彩妆、眼...详情>>,1,广东
配饰,集合店,集合店时尚饰品,HERSTORY,威海韩风饰尚商业管理有限公司,品牌概述　　HERSTORY配饰品品牌集合店，潮流精选全球品牌MZUU、La Brodée、Jewel County、HAFACE GIRL、NEOLLA、BIJOUUL、ENZO、GUSQ、MAADSTUDIO等三十个品牌的当季新品，涵盖...详情>>,6179,山东威海
配饰,配饰,黄金珠宝,CHOW TAI FOOK周大福,周大福珠宝中国营运管理中心,周大福CHOW TAI FOOK珠宝金行始创于　　　一九二九年，是一间　　信誉优良的珠宝公司。在六十年代，周大福由郑裕彤先生接手经营，其后他首创的999.9纯金首饰，成为黄金首饰业的成色典...详情>>,2.9万,广东
配饰,配饰,眼镜,KEWA,深圳行健天辰投资有限公司,品牌简介：KEWA，隶属于深圳行健天辰投资有限公司旗下，成立于2015年，是一个以为用户提供更专业、更高效的配镜服务及视力保健咨询为主的品牌。KEWA，主要提供验光配镜、太阳镜的销售...详情>>,12,浙江
配饰,配饰,黄金珠宝,Didier Dubot,蒂宝（上海）珠宝有限公司,法国性感珠宝品牌“DIDIER DUBOT”从去年2月开始逐渐被人熟知。最重要一点就是在众多热播韩剧中“露脸”。选定全智贤作为其代言人，完美表现出的品牌的独特魅力。宝用DIDIER DUBOT佩...详情>>,234,上海闵行区
配饰,配饰,黄金珠宝,Bvlgari宝格丽,宝格丽商业（上海）有限公司,"BULGARI, the great Italian jeweler of international fame is a brand of extraordinary quality which with its jewels, watches, perfumes and luxury accessories gives prestig...详情>>",2万,上海静安区
配饰,配饰,服饰配饰,SRINAGAR斯丽纳嘉,伊歌华国际贸易（深圳）有限公司,国际上，克什米尔（Cashmem）就是羊绒的代名词，也就是我们常知的“开司米”。被西方世界称为“纤维钻石”和“软黄金”。克什米尔高地的手工艺人用他们世代相传的原始手工编织与刺绣...详情>>,13,广东深圳
配饰,配饰,时尚饰品,Bling Design,深圳市碧伶珠宝有限公司,Bling Design是一家时尚珠宝饰品集合品牌，秉承点亮自我就是时尚的生活态度，将美而不贵的珠宝饰品带到爱美的女性身边，满足年轻人多种场合配搭需求。产品来源于海外采购、设计师合作...详情>>,5,广东
配饰,配饰,服饰配饰,CHIHIRO 新帽馆,深圳市信尚帽业有限公司,CHIHIRO新帽馆帽子品牌：CHIHIRO新帽馆作为帽饰专业家，最大特点就是多元化的设计，不拘一格的情调，充分满足各种人群在不同场合的各种需要。适合几乎所有年纪层的热情时尚，追求生活...详情>>,3596,广东深圳
配饰,配饰,黄金珠宝,De Beers戴比尔斯,戴比尔斯百年公司,"De Beers""没有哪一种度量标准可以告诉您如何寻找最适合您的钻石。无论 4 C 标准如何重要，美丽与否永远是唯一的取舍标准。所有钻石都应展示出火光 (Fire)、生命力 (Life) 以及亮...详情>>",3302,台湾台北
