cat_level1,cat_level2,cat_level3,brand_name,company_name,company_intro,renqi,diqu
家纺家饰,家纺家饰,家居饰品,BEAST野兽派,上海野派电子商务有限公司,BEAST野兽派，2011年底诞生于微博，从传奇花店成长为艺术生活品牌，并荣登2012年微博十大人气用户榜单。2013-2014年，我们陆续在上海连卡佛、北京国贸三期JOYCE店、上海环贸（iapm）...详情>>,6,上海徐汇区
家纺家饰,家纺家饰,家居饰品,NOME,广州诺米品牌管理有限公司,"好设计计，无国界。NOME甄选瑞典优秀独立设计师，其中Fredrik Moberg, Henrik Lundblad, Axel Brechensbauer是曾获得国际奖项的设计名师，他们的加入，是保证NOME可持续创造出更多美...详情>>",416,广东广州
家纺家饰,家纺家饰,家居饰品,roseonly专爱花店,roseonly中国高端品牌花店：北京智德创辉网络科技有限公司,【关于我们roseonly专爱花店品牌故事 】中国高端鲜花第一品牌roseonly专爱花店。roseonly专爱花店以皇家矜贵玫瑰斗胆定制“一生只送一人”离奇规则落笔为证，无法更改。   我们来自于...详情>>,5165,北京朝阳区
家纺家饰,家纺家饰,家居饰品,TIAMANTTI帝幔,上海剪刀石头布家居实业有限公司,帝幔TIAMANTTI是剪刀石头布旗下自营品牌，以原厂制造、原装进口家具为核心，同时引进高端进口窗帘墙纸、灯饰、地毯、精品家饰、高级定制商品。凭借剪刀石头布家居几十年累计的实力，...详情>>,36,上海
家纺家饰,家纺家饰,家居饰品,剪刀石头布家居,上海剪刀石头布家居实业有限公司,剪刀石头布家居集团成立于1998年，经营项目包括进口家具、窗帘、壁纸、水晶灯、家具沙发、睡眠产品、家饰家用品、各类高端整体软装商品及家居软装设计搭配服务等。2018剪刀石头布家居...详情>>,28,上海
家纺家饰,家纺家饰,家纺寝饰,富安娜,深圳市富安娜家居用品股份有限公司,富安娜创造美好睡眠生活，打造百年家居品牌深圳市富安娜家居用品股份有限公司成立于1994年，是一家集研发、设计、生产、营销和物流于一体的综合型家居企业。创立“富安娜”、“维莎”...详情>>,6.8万,广东深圳
家纺家饰,家纺家饰,家纺寝饰,罗莱KIDS,罗莱集团,罗莱KIDS是罗莱集团旗下一个活力无限的全新品牌，特别联合台湾著名绘本作家-Jimmy幾米，将其作品中的元素注入家居用品的设计中，向消费者传播活泼、快乐、充满童趣的生活态度。罗莱KI...详情>>,5944,上海黄浦区
家纺家饰,家纺家饰,家纺寝饰,凡人居,上海凡人居纺织品有限公司,上海凡人居纺织品有限公司，是一家集“研发、生产、销售”为一体的床上用品的生产企业，始建2002年1月。经过多年来的发展，凡人居以其强大的生产能力、卓越的价格性能比、广泛而畅通...详情>>,2471,江苏南通
家纺家饰,家纺家饰,家纺寝饰,MANITO,MANITO-曼尼陀（上海）贸易有限公司,生而不凡——蚕丝生活家MANITO“MANITO”本意是北美原住民所信仰的“自然神”，是自然和神力的代表。MANITO家纺品牌在这一内涵上延展出了追求自然、崇尚天然的境界。以蚕丝专家的身份...详情>>,263,上海黄浦区
家纺家饰,家纺家饰,家纺寝饰,MAK（魅可）,美国MAK（魅可）家用纺织品有限公司,AMERICA MAK HOME TEXTILES CORPORATION：企业宗旨：实用、时尚、品质、大众共享企业愿景：成为世界最爱欢迎的家纺品牌企业精神：务实、诚信、博爱MAK作为make的缩写形式，含有“创造...详情>>,4089,上海闸北区
家纺家饰,家纺家饰,毛巾,内野UCHINO,上海内野毛巾有限公司,"上海内野毛巾有限公司 上海内野毛巾有限公司由日本内野株式会社于1993年创建，公司占地71,550平方米，是一家拥有从纺纱、织造、印花、绣花、纺织到缝制一条龙生产线的专业公司。 　　...详情>>",2.4万,上海嘉定区
