cat1,cat2,url,page_num
场景,休闲,/Scene/Scene_Casual/,1
场景,工作,/Scene/Scene_Work/,2
场景,逛街约会,/Scene/Scene_Date/,1
场景,度假,/Scene/Scene_Holiday/,1
场景,派对,/Scene/Scene_Party/,1
场景,SNOOPY限量版,/Scene/Scene_Snoopy/,1
新品,10月10日到店,/New_In/New_in_10_10/,4
新品,9月26日到店,/New_In/New_in_9_26/,1
新品,9月19日到店,/New_In/New_in_9_19/,5
新品,9月12日到店,/New_In/New_in_9_12/,3
新品,9月5日到店,/New_In/New_in_9_5/,4
服装,连衣裙,/Clothing/Dresses/,14
服装,毛织,/Clothing/Sweaters/,14
服装,T恤,/Clothing/T_Shirts/,15
服装,衬衫,/Clothing/Shirts/,13
服装,半截裙,/Clothing/Skirts/,13
服装,裤装,/Clothing/Pants/,14
服装,外套,/Clothing/Jakets/,5
服装,呢料外套,/Clothing/Worsted_Coats/,3
服装,羽绒外套,/Clothing/Down_Coats/,2
