category	goods_id	goods_name	color	sale_price	origin_price	design	material	stereotype	length	page_num
连衣裙	1ZZ1087940090	"腰带假两件连衣裙"	黑色	839	839	搭配修身腰带设计/不规则拼接假两件/透气含棉纤维面料	"上身91.3%粘纤 8.7%氨纶
下身100%棉
袋布:100%聚酯纤维"	修身	中长	1
连衣裙	1ZZ1086930090	"印花不规则连衣裙"	黑色	1090	1090	法式典雅印花设计/迷人透视蕾丝网纱/悬垂雪纺面料打造	"100%聚酯纤维
撞料:80.3%锦纶 19.7%氨纶
里料:100%聚酯纤维"	合体	中长	1
连衣裙	1ZZ1086990018	"绣花网布连衣裙"	白色	1190	1190	精美绣花网布/搭配修身腰带/柔软合成纤维	"100%聚酯纤维
里料:100%聚酯纤维"	合体	适中	1
连衣裙	1ZZ1086990090	"绣花网布连衣裙"	白色	1190	1190	精美绣花网布/搭配修身腰带/柔软合成纤维	"100%聚酯纤维
里料:100%聚酯纤维"	合体	适中	1
连衣裙	1ZZ1086990180	"绣花网布连衣裙"	白色	1190	1190	精美绣花网布/搭配修身腰带/柔软合成纤维	"100%聚酯纤维
里料:100%聚酯纤维"	合体	适中	1
连衣裙	1ZZ1087840018	"网布褶皱连衣裙"	白色	1290	1290	复古小立领修饰脖颈/修身收腰弹性设计/选用蕾丝元素制成	"80.3%锦纶 19.7%氨纶
里布:100%聚酯纤维
网布:100%聚酯纤维"	合体	中长	1
连衣裙	1ZZ1087840090	"网布褶皱连衣裙"	白色	1290	1290	复古小立领修饰脖颈/修身收腰弹性设计/选用蕾丝元素制成	"80.3%锦纶 19.7%氨纶
里布:100%聚酯纤维
网布:100%聚酯纤维"	合体	中长	1
连衣裙	1ZZ1088520520	"腰带不规则连衣裙"	军绿	839	839	不规则裙摆勾勒长腿/搭配收腰腰带款式/选用柔软高含棉面料	"上身93.9%棉 6.1%氨纶
下身100%棉
罗纹:71.4%棉 28.6%聚酯纤维
袋布:100%聚酯纤维"	宽松	中长	1
连衣裙	1ZZ1088590920	"条纹领带长袖衬衫"	蓝白条	769	769	撞色趣味领带搭配/减龄荷叶边设计/精选含棉纤维面料	38.9%聚酯纤维 36.3%棉 21.9%粘纤 2.9%氨纶	宽松	适中	1
连衣裙	1ZY1081130090	"缎面雪纺连衣裙"	黑色	969	969	精美刺绣花边/趣味卡通印花/甄选缎面雪纺面料	"100%聚酯纤维
里料:100%聚酯纤维"	合体	中长	1
连衣裙	1ZY1081170018	"水溶花无袖连衣裙"	白色	1290	1290	拼接无袖网纱/腰间修身织带/采用水溶绣花面料	"花边100%聚酯纤维
网布100%锦纶
里料:100%聚酯纤维"	合体	适中	1
连衣裙	1ZY1082830090	"缎面吊带连衣裙"	黑色	699	699	拼接气质飘带/迷人吊带裙款式/甄选顺滑缎面材质	"100%聚酯纤维
里料:100%聚酯纤维"	修身	适中	1
连衣裙	1ZY1080200181	"波点连衣裙套装"	灰粉红	1290	1290	拼接精美绣花边/实穿两件套装/甄选雪纺面料	"100%聚酯纤维
里料:100%聚酯纤维
花边:100%聚酯纤维"	宽松	中长	1
连衣裙	1ZY1080200560	"波点连衣裙套装"	灰粉红	1290	1290	拼接精美绣花边/实穿两件套装/甄选雪纺面料	"100%聚酯纤维
里料:100%聚酯纤维
花边:100%聚酯纤维"	宽松	中长	1
连衣裙	1ZY1080760010	"荷叶边连衣裙套装"	米白	1290	1290	不规则荷叶边设计/实用易搭两件套装/选用飘逸合成纤维面料	100%聚酯纤维	宽松	适中	1
连衣裙	1ZY1080760180	"荷叶边连衣裙套装"	米白	1290	1290	不规则荷叶边设计/实用易搭两件套装/选用飘逸合成纤维面料	100%聚酯纤维	宽松	适中	1
连衣裙	1ZY1081080090	"绣花无袖连衣裙"	黑色	1390	1390	v领修饰天鹅颈/精美绣花元素/采用合成纤维面料	"[底布]100%锦纶 [绣花线]100%聚酯纤维
里料:100%聚酯纤维"	合体	中长	1
连衣裙	1ZY1081080601	"绣花无袖连衣裙"	黑色	1390	1390	v领修饰天鹅颈/精美绣花元素/采用合成纤维面料	"[底布]100%锦纶 [绣花线]100%聚酯纤维
里料:100%聚酯纤维"	合体	中长	1
连衣裙	1ZY1081230430	"飘带露肩连衣裙"	柠檬黄	1090	1090	复古领口飘带/别致百褶裙摆/甄选雪纺面料	"100%聚酯纤维
里布:100%聚酯纤维"	宽松	中长	1
连衣裙	1ZY1081240090	"钉珠网纱连衣裙"	黑色	899	899	精美花朵钉珠/别致优雅罩裙/甄选细腻网纱材质	100%锦纶	宽松	长款	1
连衣裙	1ZY1081240133	"钉珠网纱连衣裙"	黑色	899	899	精美花朵钉珠/别致优雅罩裙/甄选细腻网纱材质	100%锦纶	宽松	长款	1
连衣裙	1ZY1082500690	"牛仔吊带连衣裙"	浅蓝	1290	1290	精美贴布绣点缀/易搭牛仔吊带裙/甄选柔软牛仔料	"牛仔99.0%棉 1.0%氨纶(装饰工艺部位除外)
捆条:100%聚酯纤维"	修身	适中	1
连衣裙	1ZY1083330010	"单排扣中长连衣裙"	米白	1090	1090	优雅v领设计/实用易搭两件套/甄选高含棉面料	100%棉	宽松	中长	1
连衣裙	1ZY1083440600	"飘带缎面连衣裙"	蓝色	1290	1290	领口优雅飘带/心机露肩设计/甄选缎面材质	"100%聚酯纤维
里料:100%聚酯纤维"	宽松	中长	1
连衣裙	1ZY1083540650	"牛仔背带连衣裙"	深蓝	799	799	别致圆环拉链/易搭背带裙版型/甄选高含棉面料	"牛仔99.0%棉 1.0%氨纶
捆条:100%聚酯纤维"	判断	适中	1
连衣裙	1ZZ1088790180	"格子连衣裙两件套"	粉红	699	699	别致实用两件套/气质格纹图案/采用合成纤维面料	100%聚酯纤维	合体	中长	1
连衣裙	1ZZ1088790410	"格子连衣裙两件套"	粉红	699	699	别致实用两件套/气质格纹图案/采用合成纤维面料	100%聚酯纤维	合体	中长	1
连衣裙	1ZZ1089950090	"印花不规则连衣裙"	黑色	1090	1090	飘逸不规则长裙/透视流露优雅气场/精选合成纤维面料	"100%粘纤
里料:100%聚酯纤维"	宽松	长款	1
连衣裙	1ZZ1088800010	"印花雪纺连衣裙"	米白	999	999	趣味印花图案/裙摆心机开叉/甄选飘逸雪纺面料	"100%聚酯纤维
里料:100%聚酯纤维"	合体	适中	1
连衣裙	1ZZ1088800090	"印花雪纺连衣裙"	米白	999	999	趣味印花图案/裙摆心机开叉/甄选飘逸雪纺面料	"100%聚酯纤维
里料:100%聚酯纤维"	合体	适中	1
连衣裙	1ZZ1088720180	"荷叶边无袖连衣裙"	米白	999	999	穿孔绑带收腰有型/不规则荷叶边下摆/优质合成纤维面料	"94.6%聚酯纤维 5.4%氨纶
里料:100%聚酯纤维"	合体	中长	1
连衣裙	1ZZ1088720010	"荷叶边无袖连衣裙"	米白	999	999	穿孔绑带收腰有型/不规则荷叶边下摆/优质合成纤维面料	"94.6%聚酯纤维 5.4%氨纶
里料:100%聚酯纤维"	合体	中长	1
连衣裙	1ZZ1088720090	"荷叶边无袖连衣裙"	米白	999	999	穿孔绑带收腰有型/不规则荷叶边下摆/优质合成纤维面料	"94.6%聚酯纤维 5.4%氨纶
里料:100%聚酯纤维"	合体	中长	1
连衣裙	1ZY1080400013	"复古无袖连衣裙"	米色	799	799	亮泽金属质感纽扣/易搭简约纯色设计/含棉纤维面料打造	"47.2%聚酯纤维 43.5%腈纶 9.3%棉
里料:100%聚酯纤维"	合体	适中	1
连衣裙	1ZY1083220530	"网纱腰带连衣裙"	卡其	1190	1190	复古束口袖设计/搭配金属扣腰带/质感合成纤维面料	100%锦纶	宽松	中长	1
连衣裙	1ZY1083460090	"假两件雪纺连衣裙"	黑色	1190	1190	拉链设计微露美背/假两件丰富层次感/选用轻盈雪纺面料	"100%聚酯纤维
里料:100%聚酯纤维
毛织片:50%粘纤 30%聚酯纤维 18%锦纶 2%氨纶"	判断	长款	1
连衣裙	1ZY1083460120	"假两件雪纺连衣裙"	黑色	1190	1190	拉链设计微露美背/假两件丰富层次感/选用轻盈雪纺面料	"100%聚酯纤维
里料:100%聚酯纤维
毛织片:50%粘纤 30%聚酯纤维 18%锦纶 2%氨纶"	判断	长款	1
连衣裙	1ZY1083520010	"荷叶边印花连衣裙"	米白	1190	1190	荷叶边增添气质/印花呈现撞色效果/甄选合成纤维面料	"100%粘纤
里料:100%聚酯纤维"	宽松	中长	1
连衣裙	1ZY1083520090	"荷叶边印花连衣裙"	米白	1190	1190	荷叶边增添气质/印花呈现撞色效果/甄选合成纤维面料	"100%粘纤
里料:100%聚酯纤维"	宽松	中长	1
连衣裙	1ZY1080340090	"印花吊带连衣裙"	黑色	799	799	大幅印花图案款式/V领勾勒天鹅颈/采用合成纤维面料	"100%聚酯纤维
里料:100%聚酯纤维"	合体	适中	1
连衣裙	1ZY1080560180	"拼接网纱连衣裙"	粉红	1190	1190	精美蕾丝花边装扮/拼接网纱褶皱裙边/合成纤维面料制作	"100%聚酯纤维
撞料:100%锦纶
里料:100%聚酯纤维"	合体	中长	2
连衣裙	1ZY1080580090	"假两件百褶连衣裙"	黑色	1490	1490	前幅圆点钉珠装饰/抹胸感假两件连衣裙/甄选舒适合成纤维	"100%锦纶
里料:100%聚酯纤维"	合体	中长	2
