goods_id,newin_date
1ZY1080430018,12-26
1ZY1080430600,12-26
1ZZ1028010018,12-26
1ZZ1028010133,12-26
1ZZ1028010760,12-26
1ZZ1026600018,12-26
1ZZ1026600025,12-26
1ZZ1026600090,12-26
1ZZ1036720010,12-26
1ZZ1036720620,12-26
1ZY1011360180,12-26
1ZY1011360600,12-26
1ZY1012190018,12-26
1ZY1012190090,12-26
1ZY1012250090,12-26
1ZY1012250870,12-26
1ZZ1016820018,12-26
1ZZ1016820920,12-26
1ZH1074240923,12-26
1ZY1070080090,12-26
1ZY1070080452,12-26
1ZY1070080620,12-26
1ZY1072230090,12-26
1ZY1072230320,12-26
1ZY1072240090,12-26
1ZY1073010410,12-26
1ZZ1077890923,12-26
1ZZ1078030947,12-26
1ZY1080100923,12-26
1ZY1080100986,12-26
1ZY1080570010,12-26
1ZY1080570090,12-26
1ZZ1087800090,12-26
1ZY1020640010,12-26
1ZY1020640650,12-26
1ZY1020640770,12-26
1ZY1020850090,12-26
1ZY1023210018,12-26
1ZY1023210600,12-26
1ZZ1026500018,12-26
1ZZ1026500090,12-26
1ZZ1026500119,12-26
1ZZ1026510018,12-26
1ZZ1026510080,12-26
1ZZ1026510090,12-26
1ZZ1026510770,12-26
1ZZ1026610018,12-26
1ZZ1026610090,12-26
1ZZ1026620018,12-26
1ZZ1026620090,12-26
1ZZ1026620133,12-26
1ZZ1026620480,12-26
1ZZ1026620600,12-26
1ZY1060680090,12-26
1ZY1060730090,12-26
1ZY1060730620,12-26
1ZY1062220923,12-26
1ZY1062460090,12-26
1ZY1062460650,12-26
1ZY1062460690,12-26
1ZY1062600090,12-26
1ZY1062600610,12-26
1ZY1031490880,12-26
1ZY1031570410,12-26
1ZY1031570710,12-26
1ZY1031590010,12-26
1ZY1031590090,12-26
1ZY1031750010,12-26
1ZY1031750090,12-26
1ZY1031780090,12-26
1ZY1031780304,12-26
1ZY1031850190,12-26
1ZY1031370410,12-26
1ZY1031370710,12-26
1ZY1031380010,12-26
1ZY1031380090,12-26
1ZY1031380760,12-26
1ZY1031390090,12-26
1ZY1031390304,12-26
1ZY1031410090,12-26
1ZZ1039140090,12-19
1ZZ1018430018,12-19
1ZZ1018430090,12-19
1ZZ1018540018,12-19
1ZZ1018540920,12-19
1ZZ1078460610,12-19
1ZZ1078480090,12-19
1ZZ1078480119,12-19
1ZZ1078480600,12-19
1ZZ1078560090,12-19
1ZZ1078560590,12-19
1ZZ1078560870,12-19
1ZZ1079020018,12-19
1ZZ1079020090,12-19
1ZZ1079020119,12-19
1ZZ1079020590,12-19
1ZZ1079890090,12-19
1ZZ1088630947,12-19
1ZZ1088640010,12-19
1ZZ1088640090,12-19
1ZZ1088640180,12-19
1ZZ1088710180,12-19
1ZZ1088710600,12-19
1ZZ1088750018,12-19
1ZZ1088750090,12-19
1ZZ1088750119,12-19
1ZZ1088810090,12-19
1ZZ1088810420,12-19
1ZZ1088810620,12-19
1ZZ1089000090,12-19
1ZZ1088780090,12-19
1ZZ1088780119,12-19
1ZZ1088530090,12-19
1ZZ1088530119,12-19
1ZZ1028240018,12-19
1ZZ1028240090,12-19
1ZZ1028240119,12-19
1ZZ1068050090,12-19
1ZZ1068050610,12-19
1ZZ1069370610,12-19
