"goods_id	newin_date"
"1G04518310320	2018/9/19"
"1G04518310880	2018/9/19"
"1G04518320090	2018/9/19"
"1G04518330090	2018/9/19"
"1G04518330120	2018/9/19"
"1GY4010520010	2018/9/19"
"1GY4010520690	2018/9/19"
"1GY4011100010	2018/9/19"
"1GY4011130870	2018/9/19"
"1GY4012930013	2018/9/19"
"1GY4012930090	2018/9/19"
"1GY4012930130	2018/9/19"
"1GY4030220770	2018/9/19"
"1GY4030470090	2018/9/19"
"1GY4030470910	2018/9/19"
"1GY4030470950	2018/9/19"
"1GY4030490010	2018/9/19"
"1GY4030490090	2018/9/19"
"1G04518110090	2018/9/19"
"1G04518110180	2018/9/19"
"1G04518110320	2018/9/19"
"1G04518110600	2018/9/19"
"1G04518290018	2018/9/19"
"1G04518290090	2018/9/19"
"1G04518300600	2018/9/19"
"1GY4022250010	2018/9/19"
"1GY4022250181	2018/9/19"
"1GY4022250660	2018/9/19"
"1GY4022360770	2018/9/19"
"1GY4030210010	2018/9/19"
"1GY4012940090	2018/9/19"
"1GY4012940820	2018/9/19"
"1GY4021370010	2018/9/19"
"1GY4021370090	2018/9/19"
"1G04517170090	2018/9/19"
"1G04518110018	2018/9/19"
"1GY4030490120	2018/9/19"
"1GY4042430933	2018/9/19"
"1GY4030220010	2018/9/19"
"1GY4030220090	2018/9/19"
"1GY4022250660	2018/9/19"
"1GY4022360770	2018/9/19"
"1GY4030210010	2018/9/19"
"1GY4030220010	2018/9/19"
"1GY4030220090	2018/9/19"
"1GY4030220770	2018/9/19"
"1GY4030470090	2018/9/19"
"1GY4060380610	2018/9/19"
"1GY4062320090	2018/9/19"
"1GY4062320530	2018/9/19"
"1GY4062330090	2018/9/19"
"1GY4062460920	2018/9/19"
"1GY4062520090	2018/9/19"
"1GY4062520620	2018/9/19"
"1GY4062850923	2018/9/19"
"1GY4063100090	2018/9/19"
"1GY4063100610	2018/9/19"
"1GY4071390090	2018/9/19"
"1GY4071440920	2018/9/19"
"1GY4071850090	2018/9/19"
"1GY4030470910	2018/9/19"
"1GY4030470950	2018/9/19"
"1GY4030490010	2018/9/19"
"1GY4030490090	2018/9/19"
"1GY4030490120	2018/9/19"
"1GY4042430933	2018/9/19"
"1GY4060380090	2018/9/19"
"1GY4071850100	2018/9/19"
"1GY4071900090	2018/9/19"
"1GY4071910090	2018/9/19"
"1GY4071910880	2018/9/19"
"1GY4072890933	2018/9/19"
"1GH3016150090	2018/9/12"
"1GH3016150500	2018/9/12"
"1GH3086310018	2018/9/12"
"1GY3012720010	2018/9/12"
"1GY3012720180	2018/9/12"
"1GY3012960920	2018/9/12"
"1GY3020050018	2018/9/12"
"1GY3020050650	2018/9/12"
"1GY3022690010	2018/9/12"
"1GY3022690090	2018/9/12"
"1GY3022840010	2018/9/12"
"1GY3022840650	2018/9/12"
"1GY3030120133	2018/9/12"
"1GY3030130180	2018/9/12"
"1GY3030280462	2018/9/12"
"1GY3030540025	2018/9/12"
"1GY3030540660	2018/9/12"
"1GY3030600090	2018/9/12"
"1GY3030600130	2018/9/12"
"1GY3030260010	2018/9/12"
"1GY3030260090	2018/9/12"
"1GY3030280090	2018/9/12"
"1GY3034400010	2018/9/12"
"1GY3034400181	2018/9/12"
"1GY3041110650	2018/9/12"
"1GY3041210501	2018/9/12"
"1GY3041270090	2018/9/12"
"1GY3040820091	2018/9/12"
"1GY3040940936	2018/9/12"
"1GY3051050531	2018/9/12"
"1GY3060710501	2018/9/12"
"1GY3063950610	2018/9/12"
"1GY3063960650	2018/9/12"
"1GY3061000090	2018/9/12"
"1GY3071950010	2018/9/12"
"1GY3071950090	2018/9/12"
"1GY3071950462	2018/9/12"
"1GY3331120870	2018/9/12"
"1GY3340810090	2018/9/12"
"1GY3340810130	2018/9/12"
"1GY3340810462	2018/9/12"
"1GY3340900090	2018/9/12"
"1GY3340900810	2018/9/12"
"1GY3064100650	2018/9/12"
"1GY3331120090	2018/9/12"
"1GY3331120130	2018/9/12"
"1GF3025220000	2018/9/5"
"1GF3025220090	2018/9/5"
"1GF3025240000	2018/9/5"
"1GF3025240119	2018/9/5"
"1GF3025250000	2018/9/5"
"1GF3025250090	2018/9/5"
"1GF3025260090	2018/9/5"
"1GF3025260130	2018/9/5"
"1GF3025270090	2018/9/5"
"1GF3025380090	2018/9/5"
"1GF3065430610	2018/9/5"
"1GF3075300090	2018/9/5"
"1GF3075310090	2018/9/5"
"1GF3075310180	2018/9/5"
"1GF3085550090	2018/9/5"
"1GF3035460090	2018/9/5"
"1GF3035460119	2018/9/5"
"1GF3035560090	2018/9/5"
"1GF3035580090	2018/9/5"
"1GF3035590018	2018/9/5"
"1GF3035590090	2018/9/5"
"1GF3065360530	2018/9/5"
"1GF3025520000	2018/9/5"
"1GF3025520090	2018/9/5"
"1GF3035350090	2018/9/5"
"1GF3035440090	2018/9/5"
"1GF3035440119	2018/9/5"
"1GF3035450018	2018/9/5"
"1GF3035450090	2018/9/5"
"1GF3345490090	2018/9/5"
"1GF3345490180	2018/9/5"
"1GF3065370100	2018/9/5"
"1GF3065370620	2018/9/5"
"1GF3345330090	2018/9/5"
"1GF3345320090	2018/9/5"
"1GF3345320120	2018/9/5"
