goods_id,newin_date
1GY4011110010,10-10
1GY4011110090,10-10
1GY4011320010,10-10
1GY4011320090,10-10
1GY4030180910,10-10
1GY4030250010,10-10
1GY4030250600,10-10
1GY4030250720,10-10
1GY4030300010,10-10
1GY4030300090,10-10
1GY4030300180,10-10
1GY4030400950,10-10
1GY4030480180,10-10
1GY4030480600,10-10
1GY4030500090,10-10
1GY4030500140,10-10
1GY4030660090,10-10
1GY4030660830,10-10
1GY4040970650,10-10
1GY4041950630,10-10
1GY4060700610,10-10
1GY4062410090,10-10
1GY4062580090,10-10
1GY4062610050,10-10
1GY4062610090,10-10
1GY4071600650,10-10
1GY4071610090,10-10
1GY4071610730,10-10
1GY4071610890,10-10
1GY4072160090,10-10
1GY4081030090,10-10
1GY4081340010,10-10
1GY4081340101,10-10
1GY4330760090,10-10
1GY4330820090,10-10
1GY4330820520,10-10
1GY4330920090,10-10
1GY4330920890,10-10
1GY4341720090,10-10
1GY4341720100,10-10
1GY4062410090,10-10
1GY4062580090,10-10
1GY4062610050,10-10
1GY4062610090,10-10
1GY4011250010,10-10
1GY4011290010,10-10
1GY4011290181,10-10
1GY4012930690,10-10
1GY4022270010,10-10
1GY4022270090,10-10
1GY4030090010,10-10
1GY4030090760,10-10
1GY4030100760,10-10
1GY4030100870,10-10
1GY4030460010,10-10
1GY4030460090,10-10
1GY4030460181,10-10
1GY4030590090,10-10
1GY4030590120,10-10
1GY4030710010,10-10
1GY4030710090,10-10
1GY4030710770,10-10
1GY4041640890,10-10
1GY4041920991,10-10
1GY4063210090,10-10
1GY4071390018,10-10
1GY4071620890,10-10
1GY4072080090,10-10
1GY4072080101,10-10
1GY4073280920,10-10
1GY4081200090,10-10
1GY4082900090,10-10
1GY4083270090,10-10
1GY4341550050,10-10
1GY4341550090,10-10
1GY4341660018,10-10
1GY4341660090,10-10
1GY4341780880,10-10
1GY4341810090,10-10
1GY4343130090,10-10
1GY4341550050,10-10
1GY4341550090,10-10
1GY4341660018,10-10
1GY4341660090,10-10
1GY4341780880,10-10
1GY4341810090,10-10
1GY4343130090,10-10
1GZ4034880018,10-10
1GZ4034880090,10-10
1GZ4034880130,10-10
1GZ4034900304,10-10
1GZ4034900670,10-10
1GZ4034940018,10-10
1GZ4034940090,10-10
1GZ4038870090,10-10
1GZ4038870120,10-10
1GZ4038960018,10-10
1GZ4038960090,10-10
1GZ4039130090,10-10
1GZ4047210610,10-10
1GZ4049030090,10-10
1GZ4049030520,10-10
1GZ4049050090,10-10
1GZ4073170090,10-10
1GZ4073170140,10-10
1GZ4338670010,10-10
1GZ4338670090,10-10
1GZ4338670520,10-10
1GZ4338800090,10-10
1GZ4338800410,10-10
1GZ4345150650,10-10
1GZ4345150880,10-10
1GZ4346880986,10-10
1GZ4348710140,10-10
1GZ4033900601,10-10
1GZ4038910010,10-10
1GZ4039000090,10-10
1GZ4039000440,10-10
1GZ4039130321,10-10
1GZ4039460180,10-10
1GZ4039460018,10-10
1GZ4039520018,10-10
1GZ4039520090,10-10
1GZ4039520410,10-10
1GZ4039520120,10-10
1GZ4330850090,10-10
1GZ4330850760,10-10
1GY4040070600,9-26
1GY4041540090,9-26
1GY4041540620,9-26
1GY4041640181,9-26
1GY4041920920,9-26
1GY4082180050,9-26
1GY4082180090,9-26
1GY4330780090,9-26
1GY4330780532,9-26
1GY4341960650,9-26
1GY4341960830,9-26
1GY3022970090,9-26
1GY3022970760,9-26
1G04518110018,9-19
1G04518110090,9-19
1G04518110180,9-19
1G04518110320,9-19
1G04518110600,9-19
1G04518290018,9-19
1G04518290090,9-19
1G04518300600,9-19
1G04518310320,9-19
1G04518310880,9-19
1G04518320090,9-19
1G04518330090,9-19
1G04518330120,9-19
1GY4010520010,9-19
1GY4010520690,9-19
1GY4011100010,9-19
1GY4011130870,9-19
1GY4011250010,9-19
1GY4011290010,9-19
1GY4011290181,9-19
1GY4012930013,9-19
1GY4012930090,9-19
1GY4012930130,9-19
1GY4012940090,9-19
1GY4012940820,9-19
1GY4021370010,9-19
1GY4021370090,9-19
1GY4022250010,9-19
1GY4022250181,9-19
1GY4022250660,9-19
1GY4022270010,9-19
1GY4022270090,9-19
1GY4022360770,9-19
1GY4030090010,9-19
1GY4030090760,9-19
1GY4030100760,9-19
1GY4030100870,9-19
1GY4030210010,9-19
1GY4030220010,9-19
1GY4030220090,9-19
1GY4030220770,9-19
1GY4030460010,9-19
1GY4030460090,9-19
1GY4030460181,9-19
1GY4030470090,9-19
1GY4030470910,9-19
1GY4030470950,9-19
1GY4030490010,9-19
1GY4030490090,9-19
1GY4030490120,9-19
1GY4030590090,9-19
1GY4030590120,9-19
1GY4030710010,9-19
1GY4030710090,9-19
1GY4030710770,9-19
1GY4040070600,9-19
1GY4041540090,9-19
1GY4041540620,9-19
1GY4041640181,9-19
1GY4041640890,9-19
1GY4041920920,9-19
1GY4041920991,9-19
1GY4042430933,9-19
1GY4052040530,9-19
1GY4052040620,9-19
1GY4060380090,9-19
1GY4060380610,9-19
1GY4062310090,9-19
1GY4062310530,9-19
1GY4062320090,9-19
1GY4062320530,9-19
1GY4062330050,9-19
1GY4062330090,9-19
1GY4062400060,9-19
1GY4062400090,9-19
1GY4062460920,9-19
1GY4062520090,9-19
1GY4062520620,9-19
1GY4062850923,9-19
1GY4063100090,9-19
1GY4063100610,9-19
1GY4063210090,9-19
1GY4063210101,9-19
1GY4063210501,9-19
1GY4063220090,9-19
1GY4063220101,9-19
1GY4071390018,9-19
1GY4071390090,9-19
1GY4071440920,9-19
1GY4071620890,9-19
1GY4071850090,9-19
1GY4071850100,9-19
1GY4071900090,9-19
1GY4071910090,9-19
1GY4071910880,9-19
1GY4072080090,9-19
1GY4072080101,9-19
1GY4072890933,9-19
1GY4073190120,9-19
1GY4073280920,9-19
1GY4080020110,9-19
1GY4080020181,9-19
1GY4080690650,9-19
1GY4080690690,9-19
1GY4080910933,9-19
1GY4081200090,9-19
1GY4082180050,9-19
1GY4082180090,9-19
1GY4082900090,9-19
1GY4083270090,9-19
1GY4330780090,9-19
1GY4330780532,9-19
1GY4330800101,9-19
1GY4330800650,9-19
1GY4331160090,9-19
1GY4341380933,9-19
1GY4341550050,9-19
1GY4341550090,9-19
1GY4341660018,9-19
1GY4341660090,9-19
1GY4341780880,9-19
1GY4341810090,9-19
1GY4341810830,9-19
1GY4341960650,9-19
1GY4341960830,9-19
1GY4343130090,9-19
1GY4012930820,9-19
1GZ4034940018,9-19
1GZ4034940090,9-19
1GZ4038870090,9-19
1GZ4038870120,9-19
1GZ4038960018,9-19
