skc_id	newin_date
3GC4341430530	2018/10/11
3GC4404220120	2018/10/11
3GC4020230000	2018/10/11
3GC4020230090	2018/10/11
3GC4020280000	2018/10/11
3GC4020280090	2018/10/11
3GC4030130410	2018/10/11
3GC4030130510	2018/10/11
3GC4031100090	2018/10/11
3GC4031100510	2018/10/11
3GC4031130130	2018/10/11
3GA4518050090	2018/10/11
3GA4518100020	2018/10/11
3GA4518100090	2018/10/11
3GA4518100410	2018/10/11
3GA4528010090	2018/10/11
3GA4528050090	2018/10/11
3GA4518010009	2018/10/11
3GA4518010321	2018/10/11
3GA4518010876	2018/10/11
3GA4518020018	2018/10/11
3GA4518020090	2018/10/11
3GA4518030090	2018/10/11
3GA4528090090	2018/10/11
3GA4568010018	2018/10/11
3GA4568010025	2018/10/11
3GA4568010090	2018/10/11
3GA4568010120	2018/10/11
3GA4568020090	2018/10/11
3GA4568020325	2018/10/11
3GC4020230000	2018/10/11
3GC4020230090	2018/10/11
3GC4020280000	2018/10/11
3GC4020280090	2018/10/11
3GC4030130410	2018/10/11
3GC4030130510	2018/10/11
3GC4031100090	2018/10/11
3GC4031100510	2018/10/11
3GC4031130130	2018/10/11
3GC4040170010	2018/10/11
3GC4040170090	2018/10/11
3GC4040170120	2018/10/11
3GC4040170601	2018/10/11
3GC4040220010	2018/10/11
3GC4040220090	2018/10/11
3GC4040220120	2018/10/11
3GC4040240000	2018/10/11
3GC4040240090	2018/10/11
3GC4040700010	2018/10/11
3GC4040700090	2018/10/11
3GC4040700510	2018/10/11
3GC4041270010	2018/10/11
3GC4041270090	2018/10/11
3GC4041270190	2018/10/11
3GC4041450090	2018/10/11
3GC4041470090	2018/10/11
3GC4043830090	2018/10/11
3GC4044210010	2018/10/11
3GC4044210090	2018/10/11
3GC4044210601	2018/10/11
3GC4060320090	2018/10/11
3GC4060960090	2018/10/11
3GC4060960520	2018/10/11
3GC4061490090	2018/10/11
3GC4313780090	2018/10/11
3GC4341430090	2018/10/11
3GC4341430530	2018/10/11
3GC4341430710	2018/10/11
3GC4401460090	2018/10/11
3GC4401460120	2018/10/11
3GC4401460601	2018/10/11
3GC4404220120	2018/10/11
3GC4404220320	2018/10/11
3GC4404220510	2018/10/11
3GC4404220600	2018/10/11
3GE4011970000	2018/10/11
3GE4011970090	2018/10/11
3GE4031620090	2018/10/11
3GE4031620600	2018/10/11
3GE4042150090	2018/10/11
3GE4042400090	2018/10/11
3GE4042400520	2018/10/11
3GE4044490090	2018/10/11
3GE4061840090	2018/10/11
3GE4061840500	2018/10/11
3GE4062110090	2018/10/11
3GE4334480090	2018/10/11
3GE4342020090	2018/10/11
3GE4342020304	2018/10/11
3GE4414500090	2018/10/11
3GA4518110090	2018/10/11
3GC4040220410	2018/10/11
3GC4041470540	2018/10/11
3GC4064260090	2018/10/11
3GA4528090800	2018/10/11
3GC4041450601	2018/10/11
3GC3040480090	2018/9/27
3GC304128S090	2018/9/27
3GC3041300090	2018/9/27
3GC3041300590	2018/9/27
3GC3061390090	2018/9/27
3GC3061390590	2018/9/27
3GC3061400090	2018/9/27
3GC3066630090	2018/9/27
3GC3331420090	2018/9/27
3GC3331420410	2018/9/27
3GC3331420600	2018/9/27
3GC340128N520	2018/9/27
3GC340128N600	2018/9/27
3GC3401310090	2018/9/27
3GC3401310520	2018/9/27
3GE3036460410	2018/9/27
3GE3041670530	2018/9/27
3GE3045240560	2018/9/27
3GE3062210090	2018/9/27
3GE3066390090	2018/9/27
3GE3066440090	2018/9/27
3GI3045750090	2018/9/27
3GI3045760090	2018/9/27
3GI3065170510	2018/9/27
3GI3065870500	2018/9/27
3GI3066700923	2018/9/27
3GC3013950917	2018/9/27
3GC4031600120	2018/9/27
3GC4031600410	2018/9/27
3GC4031600601	2018/9/27
3GE4032120090	2018/9/27
3GC3011170923	2018/9/20
3GC3040230000	2018/9/20
3GC3040230420	2018/9/20
3GC3040830420	2018/9/20
3GC3045970090	2018/9/20
3GC3045970410	2018/9/20
3GE3021850000	2018/9/20
3GE3021850090	2018/9/20
3GE3022320090	2018/9/20
3GE3036480411	2018/9/20
3GE3036480510	2018/9/20
3GE3036480600	2018/9/20
3GE3041770500	2018/9/20
3GE3041880590	2018/9/20
3GE3042170090	2018/9/20
3GE3042460090	2018/9/20
3GE3046260090	2018/9/20
3GE3046290800	2018/9/20
3GE3311810090	2018/9/20
3GE3316500090	2018/9/20
3GE3316500600	2018/9/20
3GE3330750030	2018/9/20
3GE3330750600	2018/9/20
3GE3341790090	2018/9/20
3GI3046340120	2018/9/20
3GE3043930054	2018/9/20
3GE3043930660	2018/9/20
3GC3011170781	2018/9/20
3GC3011170782	2018/9/20
3GC3040020090	2018/9/20
3GC3040020520	2018/9/20
3GC3040330090	2018/9/20
3GC3040330520	2018/9/20
3GC3040450090	2018/9/20
3GC3040450600	2018/9/20
3GC3040490090	2018/9/20
3GC3040830090	2018/9/20
3GC3040830500	2018/9/20
3GC304128S520	2018/9/20
3GC3041330090	2018/9/20
3GC3060360090	2018/9/20
3GC3060360470	2018/9/20
3GC3060430090	2018/9/20
3GC3060430520	2018/9/20
3GC3060770090	2018/9/20
3GC3060890090	2018/9/20
3GC3061340090	2018/9/20
3GC3061930660	2018/9/20
3GC3311180110	2018/9/20
3GC3316080120	2018/9/20
3GC3346490660	2018/9/20
3GC340128N090	2018/9/20
3GC3411940660	2018/9/20
3GE3022320000	2018/9/20
3GE3036460090	2018/9/20
3GE3041090090	2018/9/20
3GE3041090410	2018/9/20
3GE3041090600	2018/9/20
3GE3041770530	2018/9/20
3GE3041880090	2018/9/20
3GE3042170600	2018/9/20
3GE3042260090	2018/9/20
3GE3046290090	2018/9/20
3GE3066380090	2018/9/20
3GE3311810101	2018/9/20
3GE3330750090	2018/9/20
3GE3341780090	2018/9/20
3GE3341800090	2018/9/20
3GI3015160510	2018/9/20
3GI3025220090	2018/9/20
3GI3035910090	2018/9/20
3GI3045230090	2018/9/20
3GI3045230600	2018/9/20
3GI3045550119	2018/9/20
3GI3045550510	2018/9/20
3GC3063880090	2018/9/20
3GC3343960090	2018/9/20
3GC3343960120	2018/9/20
3GC3343960410	2018/9/20
3GC3343960600	2018/9/20
3GE3043930090	2018/9/20
3GC3043980090	2018/9/20
3GC3010160090	2018/9/6
3GC3013850971	2018/9/6
3GC3020240000	2018/9/6
3GC3026760000	2018/9/6
3GC3026760090	2018/9/6
3GC3031070090	2018/9/6
3GC3031160156	2018/9/6
3GC3031160920	2018/9/6
3GC3035900090	2018/9/6
3GC3060170420	2018/9/6
3GC3060200090	2018/9/6
3GC3060390090	2018/9/6
3GC3060790090	2018/9/6
3GC3061040923	2018/9/6
3GC3066820090	2018/9/6
3GC3343840781	2018/9/6
3GC3346810090	2018/9/6
3GE3022570090	2018/9/6
3GE3042390090	2018/9/6
3GE3042390520	2018/9/6
3GI3025310530	2018/9/6
3GI3045130090	2018/9/6
3GI3045330010	2018/9/6
3GI3065520090	2018/9/6
3GI3066300530	2018/9/6
3GC3020240090	2018/9/6
3GA3568650650	2018/9/6
3GC3030550090	2018/9/6
3GC3031070140	2018/9/6
3GC3040030090	2018/9/6
3GC3040030530	2018/9/6
3GC3040050410	2018/9/6
3GC3040050600	2018/9/6
3GC3040210000	2018/9/6
3GC3040260000	2018/9/6
3GC3040260090	2018/9/6
3GC3040260420	2018/9/6
3GC3043040090	2018/9/6
3GC3060170510	2018/9/6
3GC3060250090	2018/9/6
3GC3061040782	2018/9/6
3GE3012280090	2018/9/6
3GE3022570000	2018/9/6
3GE3032370090	2018/9/6
3GE3066140090	2018/9/6
3GE3066360090	2018/9/6
3GI3025430090	2018/9/6
3GI3032880120	2018/9/6
3GI3035820090	2018/9/6
3GI3045130130	2018/9/6
3GI3065560090	2018/9/6
3GC3040210090	2018/9/6
3GI3032880510	2018/9/6
3GC3063990090	2018/9/6
