skc_id,newin_date
3ZA1518020285,2018-1-24
3ZA1518060090,2018-1-24
3ZA1558050090,2018-1-24
3ZC1021330090,2018-1-24
3ZC1021330601,2018-1-24
3ZC1040150000,2018-1-24
3ZC1040150090,2018-1-24
3ZC1043710919,2018-1-24
3ZC1060140090,2018-1-24
3ZC1060170000,2018-1-24
3ZC1060170130,2018-1-24
3ZC1063380987,2018-1-24
3ZC1063670120,2018-1-24
3ZC1313860090,2018-1-24
3ZC1403580440,2018-1-24
3ZC1404450090,2018-1-24
3ZC1404450520,2018-1-24
3ZE1042900090,2018-1-24
3ZE1044010090,2018-1-24
3ZE1062130090,2018-1-24
3ZE1063680090,2018-1-24
3ZE1064930090,2018-1-24
3ZE1402970530,2018-1-24
3ZC1046510120,2018-1-24
3ZC1403580120,2018-1-24
3ZC1040150200,2018-1-24
3ZC1023920000,2018-1-24
3ZC1023920090,2018-1-24
3ZA1518060018,2018-1-24
3ZA1518070090,2018-1-24
3ZA1528010090,2018-1-24
3ZA1528020119,2018-1-24
3ZA1528030710,2018-1-24
3ZA1528040040,2018-1-24
3ZA1558010018,2018-1-24
3ZA1558010090,2018-1-24
3ZA1558020018,2018-1-24
3ZA1558020090,2018-1-24
3ZA1558030018,2018-1-24
3ZA1558030090,2018-1-24
3ZA1558040018,2018-1-24
3ZA1558040090,2018-1-24
3ZA1558050710,2018-1-24
3ZA1558060018,2018-1-24
3ZA1558060090,2018-1-24
3ZC1021330000,2018-1-24
3ZC1021330400,2018-1-24
3ZC1023590000,2018-1-24
3ZC1023590130,2018-1-24
3ZC1040080090,2018-1-24
3ZC1040080119,2018-1-24
3ZC1041280520,2018-1-24
3ZC1041610054,2018-1-24
3ZC1041610090,2018-1-24
3ZC1041610120,2018-1-24
3ZC1043080919,2018-1-24
3ZC1043480000,2018-1-24
3ZC1060130090,2018-1-24
3ZC1060130601,2018-1-24
3ZC1060130710,2018-1-24
3ZC1060170090,2018-1-24
3ZC1060530981,2018-1-24
3ZC1063670090,2018-1-24
3ZC1066120650,2018-1-24
3ZE1042490090,2018-1-24
3ZE1042490600,2018-1-24
3ZE1066420090,2018-1-24
3ZE1313800090,2018-1-24
3ZE1402970090,2018-1-24
3ZE1404960090,2018-1-24
3ZE1404960120,2018-1-24
3ZE1404980090,2018-1-24
3ZE1404980120,2018-1-24
3ZA1528050090,2018-1-24
3ZA1528060090,2018-1-24
3ZA1528070090,2018-1-24
3ZA1528070119,2018-1-24
3ZC1046510000,2018-1-24
3ZC1046510090,2018-1-24
3ZC1046520000,2018-1-24
3ZC1046520090,2018-1-24
3ZC1046520130,2018-1-24
3ZE1066500090,2018-1-24
3ZE1066420520,2018-1-24
3ZE1063680500,2018-1-24
3ZE1062130500,2018-1-24
3GC4060480090,2018-12-28
3ZC1023450000,2018-12-28
3ZC1033120090,2018-12-28
3ZC1043700000,2018-12-28
3ZC1063760090,2018-12-28
3ZE1034100010,2018-12-28
3ZE1034100140,2018-12-28
3ZC1023450090,2018-12-28
3ZC1023450700,2018-12-28
3ZC1033260090,2018-12-28
3ZC1041970090,2018-12-28
3ZC1041970530,2018-12-28
3ZC1043700090,2018-12-28
3ZC1043700420,2018-12-28
3ZC1341560090,2018-12-28
3ZE1034100090,2018-12-28
3ZE1064750090,2018-12-28
3ZC1011050779,2018-12-28
3ZC1062060090,2018-12-28
3ZE1066450090,2018-12-28
3ZC1043160090,2018-12-28
3ZC1066490090,2018-12-28
3GC4060480090,2018-12-20
3GC4342030781,2018-12-20
3GI4322680091,2018-12-20
3GC4030080917,2018-12-20
3GC4033960510,2018-12-20
3GC4033970120,2018-12-20
3GC4030140090,2018-12-20
3GC4030140120,2018-12-20
3GC4030140510,2018-12-20
3GC4061320959,2018-12-20
3GC4064170779,2018-12-20
3GC4064170954,2018-12-20
3GC4064170981,2018-12-20
3GC4324510600,2018-12-20
3GC4330790090,2018-12-20
3GC4340600781,2018-12-20
3GC4342060781,2018-12-20
3GC4342360781,2018-12-20
3GC4344410781,2018-12-20
3GE4312340500,2018-12-20
3GC4033980120,2018-12-20
