skc_id	newin_date
3GC3040330410	2018/11/10
3GA4548010410	2018/11/10
3GA4548010600	2018/11/10
3GA4548020410	2018/11/10
3GA4548020510	2018/11/10
3GA4558010090	2018/11/10
3GA4558030470	2018/11/10
3GC4040260090	2018/11/10
3GC4040310120	2018/11/10
3GC4040850461	2018/11/10
3GC4040950601	2018/11/10
3GC4041260420	2018/11/10
3GC4041260540	2018/11/10
3GC4041360600	2018/11/10
3GC404416S410	2018/11/10
3GC404416S520	2018/11/10
3GC4044370101	2018/11/10
3GC4060480120	2018/11/10
3GC4060480600	2018/11/10
3GC4330530592	2018/11/10
3GC4330910120	2018/11/10
3GC4333690042	2018/11/10
3GC4341020650	2018/11/10
3GC4400030520	2018/11/10
3GC4400350090	2018/11/10
3GC4400350600	2018/11/10
3GC440416N410	2018/11/10
3GC440416N520	2018/11/10
3GE4401550520	2018/11/10
3GE4402170530	2018/11/10
3GI4042560130	2018/11/10
3GI4042560410	2018/11/10
3GC4331520462	2018/11/10
3GC4030150090	2018/11/10
3GC4031120090	2018/11/10
3GC4031130090	2018/11/10
3GC4040260000	2018/11/10
3GC4040310090	2018/11/10
3GC4040850090	2018/11/10
3GC4040950090	2018/11/10
3GC4040950120	2018/11/10
3GC4041260090	2018/11/10
3GC4041360120	2018/11/10
3GC4041420601	2018/11/10
3GC4043670090	2018/11/10
3GC4043670890	2018/11/10
3GC404416S090	2018/11/10
3GC4044370090	2018/11/10
3GC4060390090	2018/11/10
3GC4060410090	2018/11/10
3GC4060720501	2018/11/10
3GC4060800090	2018/11/10
3GC4061380600	2018/11/10
3GC4330270090	2018/11/10
3GC4330530090	2018/11/10
3GC4330570090	2018/11/10
3GC4330570120	2018/11/10
3GC4330910090	2018/11/10
3GC4331520090	2018/11/10
3GC4333690000	2018/11/10
3GC4341020090	2018/11/10
3GC4341240783	2018/11/10
3GC4341780810	2018/11/10
3GC4400030090	2018/11/10
3GC4400350040	2018/11/10
3GC440416N090	2018/11/10
3GE4041570090	2018/11/10
3GE4061610923	2018/11/10
3GE4062300931	2018/11/10
3GE4064120090	2018/11/10
3GE4332180090	2018/11/10
3GE4332470090	2018/11/10
3GE4332490090	2018/11/10
3GE4341990923	2018/11/10
3GE4342430090	2018/11/10
3GE4401550090	2018/11/10
3GE4402170090	2018/11/10
3GE4403500090	2018/11/10
3GI4042560090	2018/11/10
3GI4062610710	2018/11/10
3GE4064440090	2018/11/10
3GE4402250090	2018/11/10
3GA4548010100	2018/11/10
3GA4548020090	2018/11/10
3GA4558010018	2018/11/10
3GA4558030090	2018/11/10
3GA4558050090	2018/11/10
3GC4030130090	2018/11/10
3GA4518060090	2018/10/25
3GA4518120090	2018/10/25
3GA4518130020	2018/10/25
3GA4528070600	2018/10/25
3GA4558020100	2018/10/25
3GA4558060100	2018/10/25
3GA4558060410	2018/10/25
3GA4558060600	2018/10/25
3GC4014350944	2018/10/25
3GC4021480156	2018/10/25
3GC4021480969	2018/10/25
3GC4024380090	2018/10/25
3GC4030100090	2018/10/25
3GC4030100601	2018/10/25
3GC4030110920	2018/10/25
3GC4030110934	2018/10/25
3GC4040010462	2018/10/25
3GC4040200090	2018/10/25
3GC4040380026	2018/10/25
3GC4040380410	2018/10/25
3GC4040930120	2018/10/25
3GC4040930600	2018/10/25
3GC4060320120	2018/10/25
3GC4060320710	2018/10/25
3GC4063640520	2018/10/25
3GC4063640890	2018/10/25
3GC4064320090	2018/10/25
3GC4330630090	2018/10/25
3GC4331220410	2018/10/25
3GC4340000781	2018/10/25
3GC4340300090	2018/10/25
3GC4400690120	2018/10/25
3GC4400920592	2018/10/25
3GC440428N120	2018/10/25
3GE4062270944	2018/10/25
3GE4064140090	2018/10/25
3GE4331530520	2018/10/25
3GE4342010090	2018/10/25
3GE4342010500	2018/10/25
3GE4342230500	2018/10/25
3GE4401880500	2018/10/25
3GI4032830511	2018/10/25
3GI4032830660	2018/10/25
3GI4032830710	2018/10/25
3GI4412600710	2018/10/25
3GC4060400410	2018/10/25
3GC4041140500	2018/10/25
3GE4060470784	2018/10/25
3GC4033770510	2018/10/25
3GC4040010090	2018/10/25
3GC4040200000	2018/10/25
3GC4040930320	2018/10/25
3GC4041140090	2018/10/25
3GC4041370700	2018/10/25
3GC4041940090	2018/10/25
3GC4043720600	2018/10/25
3GC4044340010	2018/10/25
3GC4044340090	2018/10/25
3GC404445S090	2018/10/25
3GC4060360090	2018/10/25
3GC4060400090	2018/10/25
3GC4060720532	2018/10/25
3GC4061180923	2018/10/25
3GC4061190090	2018/10/25
3GC4061630090	2018/10/25
3GC4063610090	2018/10/25
3GC4063640090	2018/10/25
3GC4330630520	2018/10/25
3GC4331220520	2018/10/25
3GC4340000784	2018/10/25
3GC4341000954	2018/10/25
3GC4400690090	2018/10/25
3GC4400920090	2018/10/25
3GC4401290090	2018/10/25
3GC440428N090	2018/10/25
3GC440445N090	2018/10/25
3GE4032090304	2018/10/25
3GE4032090690	2018/10/25
3GE4061580090	2018/10/25
3GE4061950090	2018/10/25
3GE4062050090	2018/10/25
3GE4062100090	2018/10/25
3GE4062260090	2018/10/25
3GE4062280784	2018/10/25
3GE4064140600	2018/10/25
3GE4312340090	2018/10/25
3GE4331530090	2018/10/25
3GE4333530090	2018/10/25
3GE4334460090	2018/10/25
3GE4342010050	2018/10/25
3GE4342230090	2018/10/25
3GE4342410090	2018/10/25
3GE4342420090	2018/10/25
3GE4342420180	2018/10/25
3GE4342420520	2018/10/25
3GE4401880090	2018/10/25
3GE4412370944	2018/10/25
3GE4414470784	2018/10/25
3GE4414530784	2018/10/25
3GI4032790090	2018/10/25
3GI4032830120	2018/10/25
3GI4342570710	2018/10/25
3GI4342570810	2018/10/25
3GI4342630304	2018/10/25
3GA4528070119	2018/10/25
3GC4064300090	2018/10/25
3GC3041290090	2018/10/25
3GA4518060018	2018/10/25
3GA4518080005	2018/10/25
3GA4518080090	2018/10/25
3GA4518080285	2018/10/25
3GA4518120018	2018/10/25
3GA4518130090	2018/10/25
3GA4528020090	2018/10/25
3GA4558020018	2018/10/25
3GA4558060090	2018/10/25
3GC4014350917	2018/10/25
3GC4020940156	2018/10/25
3GC4020940969	2018/10/25
3GC4021480910	2018/10/25
3GC4024380000	2018/10/25
3GC4030100120	2018/10/25
3GC4030110910	2018/10/25
3GA4518010321	2018/10/11
3GA4518010876	2018/10/11
3GA4518020090	2018/10/11
3GA4518100090	2018/10/11
3GA4518100410	2018/10/11
3GA4528050119	2018/10/11
3GA4528050600	2018/10/11
3GA4568010025	2018/10/11
3GA4568010090	2018/10/11
3GA4568010120	2018/10/11
3GA4568020325	2018/10/11
3GA4568020511	2018/10/11
3GA4568650030	2018/10/11
3GA4568650090	2018/10/11
3GA4568650110	2018/10/11
3GA4568650650	2018/10/11
3GC4010500600	2018/10/11
3GC4020230090	2018/10/11
3GC4020280090	2018/10/11
3GC4030130510	2018/10/11
3GC4031100510	2018/10/11
3GC4031130130	2018/10/11
3GC4040170090	2018/10/11
3GC4040170120	2018/10/11
3GC4040170601	2018/10/11
3GC4040220010	2018/10/11
3GC4040220120	2018/10/11
3GC4040700090	2018/10/11
3GC4040700510	2018/10/11
3GC4041270090	2018/10/11
3GC4041270190	2018/10/11
3GC4041450090	2018/10/11
3GC4043830090	2018/10/11
3GC4044210090	2018/10/11
3GC4044210601	2018/10/11
3GC4060960090	2018/10/11
3GC4060960520	2018/10/11
3GC4341430530	2018/10/11
3GC4341430710	2018/10/11
3GC4401460120	2018/10/11
3GC4401460601	2018/10/11
3GC4404220510	2018/10/11
3GC4404220600	2018/10/11
3GE4011970090	2018/10/11
3GE4031620600	2018/10/11
3GE4042150090	2018/10/11
3GE4042400090	2018/10/11
3GE4342020304	2018/10/11
3GC4040220410	2018/10/11
3GC4041470540	2018/10/11
3GA4528090800	2018/10/11
3GC4030130410	2018/10/11
3GC4031100090	2018/10/11
3GC4040170010	2018/10/11
3GC4040220090	2018/10/11
3GC4040240000	2018/10/11
3GC4040240090	2018/10/11
3GC4040700010	2018/10/11
3GC4041270010	2018/10/11
3GC4041470090	2018/10/11
3GC4044210010	2018/10/11
3GC4060320090	2018/10/11
3GC4061490090	2018/10/11
3GC4313780090	2018/10/11
3GC4341430090	2018/10/11
3GC4401460090	2018/10/11
3GC4404220120	2018/10/11
3GC4404220320	2018/10/11
3GE4011970000	2018/10/11
3GE4031620090	2018/10/11
3GE4042400520	2018/10/11
3GE4044490090	2018/10/11
3GE4061840090	2018/10/11
3GE4061840500	2018/10/11
3GE4062110090	2018/10/11
3GE4334480090	2018/10/11
3GE4342020090	2018/10/11
3GE4414500090	2018/10/11
3GA4518110090	2018/10/11
3GC4064260090	2018/10/11
3GC4041450601	2018/10/11
3GA4518010009	2018/10/11
3GA4518020018	2018/10/11
3GA4518030090	2018/10/11
3GA4518050090	2018/10/11
3GA4518100020	2018/10/11
