skc_id,newin_date
3GE4312340500,2018-12-20
3GC4030080917,2018-12-20
3GC4033960510,2018-12-20
3GC4033970120,2018-12-20
3GC4030140510,2018-12-20
3GC4030140090,2018-12-20
3GC4030140120,2018-12-20
3GC4061320959,2018-12-20
3GC4330790090,2018-12-20
3GC4064170779,2018-12-20
3GC4064170954,2018-12-20
3GC4064170981,2018-12-20
3GC4324510600,2018-12-20
3GC4342030781,2018-12-20
3GC4344410781,2018-12-20
3GC4342060781,2018-12-20
3GC4342360781,2018-12-20
3GC4340600781,2018-12-20
3GC4033980120,2018-12-20
3GI4322680091,2018-12-20
3GE4031560090,2018-12-7
3GE4064110090,2018-12-7
3GE4331510090,2018-12-7
3GE4332440090,2018-12-7
3GE4333510090,2018-12-7
3GE4333570090,2018-12-7
3GE4333510600,2018-12-7
3GE4064110520,2018-12-7
3GC4060430090,2018-12-7
3GC4060340090,2018-12-7
3GC4330060090,2018-12-7
3GC4341030090,2018-12-7
3GC4341230923,2018-12-7
3GC4404150090,2018-12-7
3GC4404150520,2018-12-7
3GI4343800090,2018-12-7
3GI4343860090,2018-12-7
3GI4322750091,2018-12-7
3GI4333810090,2018-12-7
3GI4333810700,2018-12-7
3GC4320040090,2018-12-7
3GC4324270091,2018-12-7
3GC4033700600,2018-11-22
3GC4330910000,2018-11-22
3GE4331540650,2018-11-22
3GI4032840130,2018-11-22
3GI4032840090,2018-11-22
3GE4331540030,2018-11-22
3GE4331930090,2018-11-22
3GE4332480090,2018-11-22
3GE4341710090,2018-11-22
3GE4341710120,2018-11-22
3GE4342190090,2018-11-22
3GA4558020090,2018-11-22
3GC4033700090,2018-11-22
3GC4033700130,2018-11-22
3GC4060860090,2018-11-22
3GC4060730090,2018-11-22
3GC4060330090,2018-11-22
3GC4331400090,2018-11-22
3GC4331400120,2018-11-22
3GC4330020000,2018-11-22
3GC4063620090,2018-11-22
3GC4330020090,2018-11-22
3GC4341060090,2018-11-22
3GC4341060520,2018-11-22
3GC4401350090,2018-11-22
3GC4401350120,2018-11-22
3GC4401350462,2018-11-22
3GI4032760091,2018-11-22
3GC4400890090,2018-11-22
3GI4342650090,2018-11-22
3GC4031110981,2018-11-22
3GI4044430090,2018-11-22
3GI4342500650,2018-11-22
3GI4342510520,2018-11-22
3GC3040330410,2018-11-10
3GA4548010410,2018-11-10
3GA4548020410,2018-11-10
3GA4548020510,2018-11-10
3GA4558010090,2018-11-10
3GA4558030470,2018-11-10
3GC4031120090,2018-11-10
3GC4040310090,2018-11-10
3GC4040310120,2018-11-10
3GC4041260420,2018-11-10
3GC4043670090,2018-11-10
3GC404416S090,2018-11-10
3GC404416S410,2018-11-10
3GC4044370101,2018-11-10
3GC4060480600,2018-11-10
3GC4330530592,2018-11-10
3GC4333690042,2018-11-10
3GC4341020650,2018-11-10
3GC4400030090,2018-11-10
3GC4400030520,2018-11-10
3GC4400350090,2018-11-10
3GC440416N410,2018-11-10
3GC440416N520,2018-11-10
3GE4041570090,2018-11-10
3GE4402170530,2018-11-10
3GI4042560410,2018-11-10
3GE4062300931,2018-11-10
3GE4064120090,2018-11-10
3GE4332180090,2018-11-10
3GE4332470090,2018-11-10
3GE4332490090,2018-11-10
3GE4402170090,2018-11-10
3GE4403500090,2018-11-10
3GE4061610923,2018-11-10
3GE4061700090,2018-11-10
3GE4341990923,2018-11-10
3GE4342430090,2018-11-10
3GE4401550090,2018-11-10
3GE4401550520,2018-11-10
3GE4064440090,2018-11-10
3GE4402250090,2018-11-10
3GA4558050090,2018-11-10
3GA4558030090,2018-11-10
3GA4548020090,2018-11-10
3GA4558010018,2018-11-10
3GA4548010100,2018-11-10
3GA4548010600,2018-11-10
3GC4031130090,2018-11-10
3GC4040260000,2018-11-10
3GC4040260090,2018-11-10
3GC4030130090,2018-11-10
3GC4030150090,2018-11-10
3GC4040850090,2018-11-10
3GC4040850461,2018-11-10
3GC4041360120,2018-11-10
3GC4041360600,2018-11-10
3GC4041420601,2018-11-10
3GC4043670890,2018-11-10
3GC404416S520,2018-11-10
3GC4044370090,2018-11-10
3GC4400350040,2018-11-10
3GC4400350600,2018-11-10
3GC440416N090,2018-11-10
3GC4061380600,2018-11-10
3GC4330270090,2018-11-10
3GC4330530090,2018-11-10
3GC4330570090,2018-11-10
3GC4330570120,2018-11-10
3GI4042560090,2018-11-10
3GI4042560130,2018-11-10
3GI4062610710,2018-11-10
3GC4040950601,2018-11-10
3GC4041260090,2018-11-10
3GC4041260540,2018-11-10
3GC4041360120,2018-11-10
3GC4041360600,2018-11-10
3GC4041420601,2018-11-10
3GC4043670890,2018-11-10
3GC404416S520,2018-11-10
3GC4060390090,2018-11-10
3GC4060410090,2018-11-10
3GC4060480120,2018-11-10
3GC4060720501,2018-11-10
3GC4060800090,2018-11-10
3GC4044370090,2018-11-10
3GC4040850090,2018-11-10
3GC4040950090,2018-11-10
3GC4040950120,2018-11-10
3GC4331520462,2018-11-10
